nome_unidade;id_unidade;cep;logradouro;bairro;curso;resultado;resultado_motivo;distancia_media;distancia_minima;distancia_maxima
Marcelo Roberto Dias, EMEB;106;9842095;RUA SERVIDAO PARTICULAR;BATISTINI;CRECHE;DEFERIDO;DIFICULDADE DE ACESSO;1161,764706;900;1600
Marcos Jose Ribeiro, Creche (Ferrazopolis I);218;9720270;RUA DE PINEDO;CENTRO;INF;DEFERIDO;DIFICULDADE DE ACESSO;1006,666667;950;1100
Maria Therezinha Besana, EMEB Profa.;115;9784215;RUA VINTE E SEIS DE MARCO;MONTANHAO;FUND;DEFERIDO;DIFICULDADE DE ACESSO;0;0;0
Mariana Benvinda da Costa, EMEB;116;9782510;RUA MANOEL VITALDO CARMO;FERRAZOPOLIS;INF;DEFERIDO;DIFICULDADE DE ACESSO;837,5;750;950
Italo Damiani, EMEB;73;9830255;RUA RIO ACIMA;RIO GRANDE;FUND;DEFERIDO;ÁREA RURAL;5366,666667;4100;7800
Italo Damiani, EMEB;73;9835100;ESTRADA AGUA LIMPA;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;3800;2900;4700
Italo Damiani, EMEB;73;9835495;ESTRADA DO RIO ACIMA;CAPIVARI;FUND;DEFERIDO;ÁREA RURAL;9350;9100;9600
Italo Damiani, EMEB;73;9835530;ESTRADA ALICE PEREIRA DE SOUZA;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;3800;2200;7900
Italo Damiani, EMEB;73;9835555;RUA HUGO VIEIRA PINTO;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;3900;3500;4200
Italo Damiani, EMEB;73;9835559;RUA FLORIANO ALVES DA SILVA;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;3935,294118;3100;4300
Italo Damiani, EMEB;73;9835565;RUA MARINALVA ALMEIDA DOS SANTOS;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;3062,5;750;3900
Italo Damiani, EMEB;73;9835577;ESTRADA DO RIO ACIMA;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;4129,166667;3300;7400
Italo Damiani, EMEB;73;9835700;ESTRADA DO MATARAZZO;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;4300;4100;4600
Italo Damiani, EMEB;73;9836100;ESTRADA TAQUACETUBA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;2267,045455;100;7800
Italo Damiani, EMEB;73;9836120;RUA SAPOTI;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;7800;7800;7800
Italo Damiani, EMEB;73;9836250;ESTRADA TAQUACETUBA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;2091,666667;800;3200
Italo Damiani, EMEB;73;9836270;ESTRADA MANDACARU;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;2200;2200;2200
Italo Damiani, EMEB;73;9836340;ESTRADA SIBIPIRUNA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;525;350;700
Italo Damiani, EMEB;73;9836530;RUA ARTEMISIA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;1800;1800;1800
Italo Damiani, EMEB;73;9836570;RUA CAMOMILA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;2657,142857;1300;7000
Italo Damiani, EMEB;73;9836580;RUA CAVIUNA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;1076,666667;30;1800
Italo Damiani, EMEB;73;9838390;ESTRADA CAPIVARI;CAPIVARI;FUND;DEFERIDO;ÁREA RURAL;6700;6700;6700
Italo Damiani, EMEB;73;9835577;ESTRADA DO RIO ACIMA;SANTA CRUZ;FUND;DEFERIDO;ÁREA RURAL;3800;3800;3800
Italo Damiani, EMEB;73;9835600;ESTRADA DO RIO ACIMA;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;3400;3400;3400
Italo Damiani, EMEB;73;9835700;ESTRADA DO MATARAZZO;CURUCUTU;FUND;DEFERIDO;ÁREA RURAL;5400;4300;6500
Italo Damiani, EMEB;73;9836250;ESTRADA TAQUACETUBA;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;2700;2700;2700
Italo Damiani, EMEB;73;9836270;ESTRADA MANDACARU;TAQUACETUBA;FUND;DEFERIDO;ÁREA RURAL;1600;1600;1600
